Source IP;Target IP;Counter
192.168.3.131;72.14.213.138;21
72.14.213.138;192.168.3.131;22
192.168.3.131;72.14.213.102;134
72.14.213.102;192.168.3.131;160
192.168.3.131;72.14.213.147;108
72.14.213.147;192.168.3.131;244
192.168.3.131;65.55.206.209;4
65.55.206.209;192.168.3.131;2
192.168.3.131;65.55.17.37;18
65.55.17.37;192.168.3.131;22
192.168.3.131;207.46.148.38;65
207.46.148.38;192.168.3.131;48
192.168.3.131;66.235.139.121;39
192.168.3.131;65.55.5.232;50
192.168.3.131;65.55.239.163;18
66.235.139.121;192.168.3.131;59
65.55.5.232;192.168.3.131;26
65.55.239.163;192.168.3.131;9
192.168.3.131;65.55.5.231;30
65.55.5.231;192.168.3.131;15
192.168.3.131;206.108.207.139;20
192.168.3.131;184.24.133.32;4
206.108.207.139;192.168.3.131;11
184.24.133.32;192.168.3.131;3
192.168.3.131;65.54.95.140;495
65.54.95.140;192.168.3.131;658
192.168.3.131;63.215.202.48;6
63.215.202.48;192.168.3.131;4
192.168.3.131;63.215.202.49;6
63.215.202.49;192.168.3.131;6
192.168.3.131;72.14.213.101;16
72.14.213.101;192.168.3.131;13
192.168.3.131;207.46.216.54;12
192.168.3.131;65.54.95.142;32
207.46.216.54;192.168.3.131;6
65.54.95.142;192.168.3.131;42
192.168.3.131;208.82.236.129;172
208.82.236.129;192.168.3.131;195
72.14.213.105;192.168.3.131;6
192.168.3.131;72.14.213.105;4
72.14.213.18;192.168.3.131;88
192.168.3.131;72.14.213.18;44
192.168.3.131;239.255.255.250;6
192.168.3.131;74.217.50.10;2
74.217.50.10;192.168.3.131;1
192.168.3.131;65.55.206.199;116
65.55.206.199;192.168.3.131;199
192.168.3.131;184.24.143.139;4
184.24.143.139;192.168.3.131;3
192.168.3.131;65.55.118.107;14
65.55.118.107;192.168.3.131;9
192.168.3.131;65.54.95.216;43
65.54.95.216;192.168.3.131;66
192.168.3.131;66.220.149.32;26
66.220.149.32;192.168.3.131;40
192.168.3.131;206.108.207.163;9
206.108.207.163;192.168.3.131;8
192.168.3.131;207.46.0.109;29
192.168.3.131;66.235.133.62;14
192.168.3.131;206.108.207.145;8
66.235.133.62;192.168.3.131;21
207.46.0.109;192.168.3.131;63
206.108.207.145;192.168.3.131;5
192.168.3.131;65.54.95.39;83
65.54.95.39;192.168.3.131;81
192.168.3.131;65.54.95.66;16
65.54.95.66;192.168.3.131;19
192.168.3.131;206.108.207.138;78
206.108.207.138;192.168.3.131;163
192.168.3.131;195.27.155.11;14
192.168.3.131;65.54.95.75;511
65.54.95.75;192.168.3.131;766
195.27.155.11;192.168.3.131;8
192.168.3.131;65.54.95.68;664
65.54.95.68;192.168.3.131;1275
192.168.3.131;255.255.255.255;9
192.168.3.131;224.0.0.252;2
192.168.3.131;208.82.236.130;117
208.82.236.130;192.168.3.131;162
192.168.3.131;208.82.238.129;2
208.82.238.129;192.168.3.131;1
192.168.3.131;204.9.163.166;41
204.9.163.166;192.168.3.131;28
192.168.3.131;12.129.210.71;5
12.129.210.71;192.168.3.131;4
192.168.3.131;206.108.207.155;25
206.108.207.155;192.168.3.131;39
72.14.203.102;192.168.3.131;2
192.168.3.131;72.14.203.102;2
72.14.213.156;192.168.3.131;6
192.168.3.131;72.14.213.156;6
72.14.213.167;192.168.3.131;2
192.168.3.131;72.14.213.167;2
172.16.255.1;204.9.163.158;35
204.9.163.158;172.16.255.1;35
10.0.2.15;65.55.25.60;6
65.55.25.60;10.0.2.15;2
172.16.255.1;71.224.25.112;2
172.16.255.1;255.255.255.255;1
172.16.0.1;172.16.255.1;1
172.16.255.1;224.0.0.252;2
71.224.25.112;172.16.255.1;2
172.16.255.1;156.26.54.15;1
156.26.54.15;172.16.255.1;1
172.16.255.1;178.144.253.171;1
172.16.255.1;172.16.255.255;12
178.144.253.171;172.16.255.1;1
172.16.255.1;147.31.122.1;90
